parameter,rhat,experiment,condition,model_name
"r_participant[100,condpresent]",1.0000364639450017,exp1,cue,full
"r_participant[101,condpresent]",1.0000234007125544,exp1,cue,full
"r_participant[102,condpresent]",1.00009234051527,exp1,cue,full
"r_participant[103,condpresent]",0.9999560806282671,exp1,cue,full
"r_participant[104,condpresent]",0.9999986789451265,exp1,cue,full
"r_participant[105,condpresent]",1.0002187516889023,exp1,cue,full
"r_participant[106,condpresent]",1.0000390250753883,exp1,cue,full
"r_participant[107,condpresent]",1.0001740882408796,exp1,cue,full
"r_participant[108,condpresent]",1.0000703531377637,exp1,cue,full
"r_participant[109,condpresent]",0.9999857006242809,exp1,cue,full
"r_participant[110,condpresent]",1.0000616128803528,exp1,cue,full
"r_participant[111,condpresent]",1.0000371889609816,exp1,cue,full
"r_participant[112,condpresent]",1.000231751742063,exp1,cue,full
"r_participant[113,condpresent]",1.000058959241958,exp1,cue,full
"r_participant[114,condpresent]",1.0001863258430266,exp1,cue,full
"r_participant[115,condpresent]",0.9999673493018923,exp1,cue,full
"r_participant[116,condpresent]",1.0000382939005414,exp1,cue,full
"r_participant[117,condpresent]",0.9999916336233219,exp1,cue,full
"r_participant[118,condpresent]",1.0001685505471758,exp1,cue,full
"r_participant[119,condpresent]",1.0000900628046132,exp1,cue,full
"r_participant[120,condpresent]",1.0000338946024718,exp1,cue,full
"r_participant[121,condpresent]",0.9999911474464092,exp1,cue,full
"r_participant[122,condpresent]",1.0000272409457458,exp1,cue,full
"r_participant[123,condpresent]",1.0000688453609636,exp1,cue,full
"r_participant[124,condpresent]",0.999990355498033,exp1,cue,full
"r_participant[125,condpresent]",1.0000958977290588,exp1,cue,full
"r_participant[126,condpresent]",1.0000222869595323,exp1,cue,full
"r_participant[127,condpresent]",1.000006933601598,exp1,cue,full
"r_participant[128,condpresent]",1.0002615264283057,exp1,cue,full
"r_participant[129,condpresent]",1.0000082921081874,exp1,cue,full
"r_participant[130,condpresent]",1.0001930429215038,exp1,cue,full
"r_participant[131,condpresent]",0.9999604920926218,exp1,cue,full
"r_participant[132,condpresent]",1.0001163273234892,exp1,cue,full
"r_participant[133,condpresent]",1.000078897355059,exp1,cue,full
"r_participant[134,condpresent]",1.000066123636071,exp1,cue,full
"r_participant[135,condpresent]",1.0001353398505268,exp1,cue,full
"r_participant[136,condpresent]",1.0002762649976593,exp1,cue,full
"r_participant[137,condpresent]",1.0000120984652858,exp1,cue,full
"r_participant[138,condpresent]",1.000120427368028,exp1,cue,full
"r_participant[139,condpresent]",1.000088770799532,exp1,cue,full
"r_participant[140,condpresent]",1.000068762582558,exp1,cue,full
"r_participant[141,condpresent]",1.0001427751345742,exp1,cue,full
"r_participant[142,condpresent]",1.0000742571005776,exp1,cue,full
"r_participant[143,condpresent]",1.0000446982645812,exp1,cue,full
"r_participant[144,condpresent]",1.0000944634304303,exp1,cue,full
"r_participant[145,condpresent]",1.0001986569564896,exp1,cue,full
"r_participant[146,condpresent]",1.0000734733665133,exp1,cue,full
"r_participant[147,condpresent]",1.0000913479041404,exp1,cue,full
"r_participant[148,condpresent]",0.9999946902954654,exp1,cue,full
"r_participant[149,condpresent]",1.000100612505564,exp1,cue,full
"r_participant[150,condpresent]",0.9999896905486961,exp1,cue,full
"r_participant[151,condpresent]",1.000131906427504,exp1,cue,full
"r_participant[152,condpresent]",1.0000364590303947,exp1,cue,full
"r_participant[153,condpresent]",1.0000088912773193,exp1,cue,full
"r_participant[154,condpresent]",0.9999873261437122,exp1,cue,full
"r_participant[155,condpresent]",1.0000720039130333,exp1,cue,full
"r_participant[156,condpresent]",1.00008516106896,exp1,cue,full
"r_participant[157,condpresent]",1.0002106487811262,exp1,cue,full
"r_participant[158,condpresent]",1.0000409379031072,exp1,cue,full
"r_participant[159,condpresent]",1.0000692727748,exp1,cue,full
"r_participant[160,condpresent]",1.0001032720826148,exp1,cue,full
"r_participant[161,condpresent]",1.0001153500048416,exp1,cue,full
"r_participant[162,condpresent]",0.9999890550878949,exp1,cue,full
"r_participant[163,condpresent]",1.0001513653162735,exp1,cue,full
"r_participant[164,condpresent]",1.0000645996561421,exp1,cue,full
"r_participant[165,condpresent]",1.0000713183267607,exp1,cue,full
"r_participant[166,condpresent]",1.0000871865215852,exp1,cue,full
"r_participant[167,condpresent]",0.9999981783175619,exp1,cue,full
"r_participant[168,condpresent]",1.0002365289764532,exp1,cue,full
"r_participant[169,condpresent]",0.9999911998244166,exp1,cue,full
"r_participant[170,condpresent]",1.0000621163194883,exp1,cue,full
"r_participant__hu[065,Intercept]",1.0008734298681998,exp1,cue,full
"r_participant__hu[066,Intercept]",1.0008501269438579,exp1,cue,full
"r_participant__hu[067,Intercept]",1.000603763584197,exp1,cue,full
"r_participant__hu[068,Intercept]",1.0009356192555752,exp1,cue,full
"r_participant__hu[069,Intercept]",1.0009380533146535,exp1,cue,full
"r_participant__hu[070,Intercept]",1.000763763605419,exp1,cue,full
"r_participant__hu[071,Intercept]",1.0008424820681965,exp1,cue,full
"r_participant__hu[072,Intercept]",1.0010478311834874,exp1,cue,full
"r_participant__hu[073,Intercept]",1.0009497618630465,exp1,cue,full
"r_participant__hu[074,Intercept]",1.0006666888958196,exp1,cue,full
"r_participant__hu[075,Intercept]",1.0010210165414022,exp1,cue,full
"r_participant__hu[076,Intercept]",1.0007107471541177,exp1,cue,full
"r_participant__hu[077,Intercept]",1.0008174512205592,exp1,cue,full
"r_participant__hu[078,Intercept]",1.0006638712446267,exp1,cue,full
"r_participant__hu[079,Intercept]",1.000517890539064,exp1,cue,full
"r_participant__hu[080,Intercept]",1.0006840222717837,exp1,cue,full
"r_participant__hu[081,Intercept]",1.0008807503361827,exp1,cue,full
"r_participant__hu[082,Intercept]",1.0005736610288205,exp1,cue,full
"r_participant__hu[083,Intercept]",1.000533409466658,exp1,cue,full
"r_participant__hu[084,Intercept]",1.0010032795878512,exp1,cue,full
"r_participant__hu[085,Intercept]",1.0008014419067173,exp1,cue,full
"r_participant__hu[086,Intercept]",1.0008392589970379,exp1,cue,full
"r_participant__hu[087,Intercept]",1.0008610660584816,exp1,cue,full
"r_participant__hu[088,Intercept]",1.0009136533483767,exp1,cue,full
"r_participant__hu[089,Intercept]",1.0007290146698995,exp1,cue,full
"r_participant__hu[090,Intercept]",1.0007973364217455,exp1,cue,full
"r_participant__hu[091,Intercept]",1.0007090559161984,exp1,cue,full
"r_participant__hu[092,Intercept]",1.0008311823484515,exp1,cue,full
"r_participant__hu[093,Intercept]",1.000839646517419,exp1,cue,full
"r_participant__hu[095,Intercept]",1.0008919669313645,exp1,cue,full
"r_participant__hu[096,Intercept]",1.000747395708749,exp1,cue,full
"r_participant__hu[097,Intercept]",1.000825945432171,exp1,cue,full
"r_participant__hu[098,Intercept]",1.0007108039495658,exp1,cue,full
"r_participant__hu[099,Intercept]",1.0006797855216252,exp1,cue,full
"r_participant__hu[100,Intercept]",1.0006356521780129,exp1,cue,full
"r_participant__hu[101,Intercept]",1.0009992109976038,exp1,cue,full
"r_participant__hu[102,Intercept]",1.0012372819600086,exp1,cue,full
"r_participant__hu[103,Intercept]",1.0009514842764948,exp1,cue,full
"r_participant__hu[104,Intercept]",1.0007678746040403,exp1,cue,full
"r_participant__hu[105,Intercept]",1.000862885666243,exp1,cue,full
"r_participant__hu[106,Intercept]",1.0007989855960415,exp1,cue,full
"r_participant__hu[107,Intercept]",1.0001320252215944,exp1,cue,full
"r_participant__hu[108,Intercept]",1.0006715867081186,exp1,cue,full
"r_participant__hu[109,Intercept]",1.0008868844604615,exp1,cue,full
"r_participant__hu[110,Intercept]",1.0009435335117434,exp1,cue,full
"r_participant__hu[111,Intercept]",1.0007295951832746,exp1,cue,full
"r_participant__hu[112,Intercept]",1.0009519508405582,exp1,cue,full
"r_participant__hu[113,Intercept]",1.0006051415768789,exp1,cue,full
"r_participant__hu[114,Intercept]",1.0009524357875577,exp1,cue,full
"r_participant__hu[115,Intercept]",1.0008274077547776,exp1,cue,full
"r_participant__hu[116,Intercept]",1.0007608869583087,exp1,cue,full
"r_participant__hu[117,Intercept]",1.0011394724980276,exp1,cue,full
"r_participant__hu[118,Intercept]",1.0009487480866803,exp1,cue,full
"r_participant__hu[119,Intercept]",1.000924987810733,exp1,cue,full
"r_participant__hu[120,Intercept]",1.0008385935538178,exp1,cue,full
"r_participant__hu[121,Intercept]",1.0006111597548177,exp1,cue,full
"r_participant__hu[122,Intercept]",1.0005117849470395,exp1,cue,full
"r_participant__hu[123,Intercept]",1.000749231337499,exp1,cue,full
"r_participant__hu[124,Intercept]",1.0011129429546222,exp1,cue,full
"r_participant__hu[125,Intercept]",1.0008646812049626,exp1,cue,full
"r_participant__hu[126,Intercept]",1.0010889604286584,exp1,cue,full
"r_participant__hu[127,Intercept]",1.0008302097363255,exp1,cue,full
"r_participant__hu[128,Intercept]",1.0006532895917668,exp1,cue,full
"r_participant__hu[129,Intercept]",1.0009759999657573,exp1,cue,full
"r_participant__hu[130,Intercept]",1.0008037196432324,exp1,cue,full
"r_participant__hu[131,Intercept]",1.0007091517663562,exp1,cue,full
"r_participant__hu[132,Intercept]",1.0008416625015082,exp1,cue,full
"r_participant__hu[133,Intercept]",1.0009155463638082,exp1,cue,full
"r_participant__hu[134,Intercept]",1.0007668008696118,exp1,cue,full
"r_participant__hu[135,Intercept]",1.0009441218826673,exp1,cue,full
"r_participant__hu[136,Intercept]",1.0011664919516254,exp1,cue,full
"r_participant__hu[137,Intercept]",1.0005714204136835,exp1,cue,full
"r_participant__hu[138,Intercept]",1.001111596845175,exp1,cue,full
"r_participant__hu[139,Intercept]",1.0009426112135804,exp1,cue,full
"r_participant__hu[140,Intercept]",1.0007010611777378,exp1,cue,full
"r_participant__hu[141,Intercept]",1.0009186498065412,exp1,cue,full
"r_participant__hu[142,Intercept]",1.0008499009354341,exp1,cue,full
"r_participant__hu[143,Intercept]",1.0008356281569515,exp1,cue,full
"r_participant__hu[144,Intercept]",1.0006727179316675,exp1,cue,full
"r_participant__hu[145,Intercept]",1.0010968075778706,exp1,cue,full
"r_participant__hu[146,Intercept]",1.0010562598631356,exp1,cue,full
"r_participant__hu[147,Intercept]",1.0010730338819807,exp1,cue,full
"r_participant__hu[148,Intercept]",1.0010187662405488,exp1,cue,full
"r_participant__hu[149,Intercept]",1.0009845774151067,exp1,cue,full
"r_participant__hu[150,Intercept]",1.0006549046542568,exp1,cue,full
"r_participant__hu[151,Intercept]",1.0010139273734564,exp1,cue,full
"r_participant__hu[152,Intercept]",1.0008129197860722,exp1,cue,full
"r_participant__hu[153,Intercept]",1.0005588860747303,exp1,cue,full
"r_participant__hu[154,Intercept]",1.000868994172922,exp1,cue,full
"r_participant__hu[155,Intercept]",1.0007595015198383,exp1,cue,full
"r_participant__hu[156,Intercept]",1.0006335811039284,exp1,cue,full
"r_participant__hu[157,Intercept]",1.0008293153493981,exp1,cue,full
"r_participant__hu[158,Intercept]",1.0011482538699055,exp1,cue,full
"r_participant__hu[159,Intercept]",1.0009239994916197,exp1,cue,full
"r_participant__hu[160,Intercept]",1.000864809820531,exp1,cue,full
"r_participant__hu[161,Intercept]",1.0006757399794,exp1,cue,full
"r_participant__hu[162,Intercept]",1.0006594032713516,exp1,cue,full
"r_participant__hu[163,Intercept]",1.000784464193935,exp1,cue,full
"r_participant__hu[164,Intercept]",1.0008615102290952,exp1,cue,full
"r_participant__hu[165,Intercept]",1.0007405547800365,exp1,cue,full
"r_participant__hu[166,Intercept]",1.001005160918526,exp1,cue,full
"r_participant__hu[167,Intercept]",1.0010362256048486,exp1,cue,full
"r_participant__hu[168,Intercept]",1.0008322559545186,exp1,cue,full
"r_participant__hu[169,Intercept]",1.0011217562136154,exp1,cue,full
"r_participant__hu[170,Intercept]",1.0010177678151109,exp1,cue,full
"r_participant__hu[065,condpresent]",1.0000504043777878,exp1,cue,full
"r_participant__hu[066,condpresent]",0.9999603204279228,exp1,cue,full
"r_participant__hu[067,condpresent]",1.000031599363969,exp1,cue,full
"r_participant__hu[068,condpresent]",1.0000508361436036,exp1,cue,full
"r_participant__hu[069,condpresent]",1.0000936374258604,exp1,cue,full
"r_participant__hu[070,condpresent]",1.0002169204312399,exp1,cue,full
"r_participant__hu[071,condpresent]",1.000028347745699,exp1,cue,full
"r_participant__hu[072,condpresent]",0.9999950694820565,exp1,cue,full
"r_participant__hu[073,condpresent]",0.9999707922984443,exp1,cue,full
"r_participant__hu[074,condpresent]",1.0000006300237583,exp1,cue,full
"r_participant__hu[075,condpresent]",0.9999388219824599,exp1,cue,full
"r_participant__hu[076,condpresent]",1.000169576752285,exp1,cue,full
"r_participant__hu[077,condpresent]",1.0000490021209472,exp1,cue,full
"r_participant__hu[078,condpresent]",1.0000031562841327,exp1,cue,full
"r_participant__hu[079,condpresent]",1.0001412270065673,exp1,cue,full
"r_participant__hu[080,condpresent]",1.0000271593129715,exp1,cue,full
"r_participant__hu[081,condpresent]",1.0001607161366006,exp1,cue,full
"r_participant__hu[082,condpresent]",1.0000487558353304,exp1,cue,full
"r_participant__hu[083,condpresent]",1.000103300375165,exp1,cue,full
"r_participant__hu[084,condpresent]",1.0001722210557822,exp1,cue,full
"r_participant__hu[085,condpresent]",1.0002155842454075,exp1,cue,full
"r_participant__hu[086,condpresent]",0.9999988817806937,exp1,cue,full
"r_participant__hu[087,condpresent]",1.0005246768636935,exp1,cue,full
"r_participant__hu[088,condpresent]",1.0000961581768948,exp1,cue,full
"r_participant__hu[089,condpresent]",1.0000115400740097,exp1,cue,full
"r_participant__hu[090,condpresent]",1.0001357689188002,exp1,cue,full
"r_participant__hu[091,condpresent]",1.0001775164541498,exp1,cue,full
"r_participant__hu[092,condpresent]",1.000005275493547,exp1,cue,full
"r_participant__hu[093,condpresent]",1.000097772164044,exp1,cue,full
"r_participant__hu[095,condpresent]",1.0000034624908853,exp1,cue,full
"r_participant__hu[096,condpresent]",1.0001238725823072,exp1,cue,full
"r_participant__hu[097,condpresent]",0.9999904411439561,exp1,cue,full
"r_participant__hu[098,condpresent]",1.00000416573526,exp1,cue,full
"r_participant__hu[099,condpresent]",1.0001788319908347,exp1,cue,full
"r_participant__hu[100,condpresent]",0.9999971827214356,exp1,cue,full
"r_participant__hu[101,condpresent]",1.000031447547148,exp1,cue,full
"r_participant__hu[102,condpresent]",1.0003232925459815,exp1,cue,full
"r_participant__hu[103,condpresent]",0.999997716767359,exp1,cue,full
"r_participant__hu[104,condpresent]",1.0002053374675974,exp1,cue,full
"r_participant__hu[105,condpresent]",1.0000659868984023,exp1,cue,full
"r_participant__hu[106,condpresent]",1.0000847463813103,exp1,cue,full
"r_participant__hu[107,condpresent]",1.0000886442130725,exp1,cue,full
"r_participant__hu[108,condpresent]",1.000018928868821,exp1,cue,full
"r_participant__hu[109,condpresent]",0.9999661288223567,exp1,cue,full
"r_participant__hu[110,condpresent]",0.9999982770776823,exp1,cue,full
"r_participant__hu[111,condpresent]",1.0000246582211183,exp1,cue,full
"r_participant__hu[112,condpresent]",1.0000224498980732,exp1,cue,full
"r_participant__hu[113,condpresent]",1.0001078955527452,exp1,cue,full
"r_participant__hu[114,condpresent]",1.0001378553716367,exp1,cue,full
"r_participant__hu[115,condpresent]",1.000080536866098,exp1,cue,full
"r_participant__hu[116,condpresent]",1.0000296406778781,exp1,cue,full
"r_participant__hu[117,condpresent]",1.0001633060838604,exp1,cue,full
"r_participant__hu[118,condpresent]",1.000078184158511,exp1,cue,full
"r_participant__hu[119,condpresent]",1.000131226499429,exp1,cue,full
"r_participant__hu[120,condpresent]",0.9999698768039266,exp1,cue,full
"r_participant__hu[121,condpresent]",1.0000781030961392,exp1,cue,full
"r_participant__hu[122,condpresent]",0.9999413939341285,exp1,cue,full
"r_participant__hu[123,condpresent]",1.000078896878863,exp1,cue,full
"r_participant__hu[124,condpresent]",1.0000454540639212,exp1,cue,full
"r_participant__hu[125,condpresent]",1.0000491712403656,exp1,cue,full
"r_participant__hu[126,condpresent]",1.0000630075947712,exp1,cue,full
"r_participant__hu[127,condpresent]",0.9999653606718534,exp1,cue,full
"r_participant__hu[128,condpresent]",1.0002939881786612,exp1,cue,full
"r_participant__hu[129,condpresent]",1.0001496045186056,exp1,cue,full
"r_participant__hu[130,condpresent]",1.00000178866204,exp1,cue,full
"r_participant__hu[131,condpresent]",1.0000988906281219,exp1,cue,full
"r_participant__hu[132,condpresent]",0.9999950094887188,exp1,cue,full
"r_participant__hu[133,condpresent]",1.000025822774555,exp1,cue,full
"r_participant__hu[134,condpresent]",1.00004402631314,exp1,cue,full
"r_participant__hu[135,condpresent]",0.9999870900373308,exp1,cue,full
"r_participant__hu[136,condpresent]",1.0000534838931792,exp1,cue,full
"r_participant__hu[137,condpresent]",1.0000589341681385,exp1,cue,full
"r_participant__hu[138,condpresent]",1.000124896715066,exp1,cue,full
"r_participant__hu[139,condpresent]",0.999990259155547,exp1,cue,full
"r_participant__hu[140,condpresent]",0.9999991989396713,exp1,cue,full
"r_participant__hu[141,condpresent]",1.000261525709108,exp1,cue,full
"r_participant__hu[142,condpresent]",1.0000264009754964,exp1,cue,full
"r_participant__hu[143,condpresent]",1.000031916639461,exp1,cue,full
"r_participant__hu[144,condpresent]",1.0001790075108123,exp1,cue,full
"r_participant__hu[145,condpresent]",1.0000695567591187,exp1,cue,full
"r_participant__hu[146,condpresent]",0.9999762832978382,exp1,cue,full
"r_participant__hu[147,condpresent]",0.9999646982429421,exp1,cue,full
"r_participant__hu[148,condpresent]",1.0000774589827075,exp1,cue,full
"r_participant__hu[149,condpresent]",1.0000455964035744,exp1,cue,full
"r_participant__hu[150,condpresent]",1.000037489974081,exp1,cue,full
"r_participant__hu[151,condpresent]",1.0000553779619306,exp1,cue,full
"r_participant__hu[152,condpresent]",1.0000272363342386,exp1,cue,full
"r_participant__hu[153,condpresent]",1.0002159283963308,exp1,cue,full
"r_participant__hu[154,condpresent]",1.0002025801237446,exp1,cue,full
"r_participant__hu[155,condpresent]",1.0002327421230635,exp1,cue,full
