parameter,rhat,experiment,condition,model_name
"z_2[1,23]",1.0005484281715602,exp1,baserate,simple
"z_2[1,24]",1.0003175565313862,exp1,baserate,simple
"z_2[1,25]",1.0002298466646484,exp1,baserate,simple
"z_2[1,26]",1.0007919842581656,exp1,baserate,simple
"z_2[1,27]",1.0006103905816186,exp1,baserate,simple
"z_2[1,28]",1.000883464507542,exp1,baserate,simple
"z_2[1,29]",1.0012186588243583,exp1,baserate,simple
"z_2[1,30]",1.0005439503126357,exp1,baserate,simple
"z_2[1,31]",1.0020954930958414,exp1,baserate,simple
"z_2[1,32]",1.0004356930266947,exp1,baserate,simple
"z_2[1,33]",1.000257468289956,exp1,baserate,simple
"z_2[1,34]",1.0026115066011556,exp1,baserate,simple
"z_2[1,35]",1.0014141374584788,exp1,baserate,simple
"z_2[1,36]",1.0012245737405916,exp1,baserate,simple
"z_2[1,37]",1.0004640714096038,exp1,baserate,simple
"z_2[1,38]",1.0007850464614443,exp1,baserate,simple
"z_2[1,39]",1.0014476305947704,exp1,baserate,simple
"z_2[1,40]",1.0010535565735381,exp1,baserate,simple
"z_2[1,41]",1.0004605929289678,exp1,baserate,simple
"z_2[1,42]",1.0007057174442575,exp1,baserate,simple
"z_2[1,43]",1.0006010056698527,exp1,baserate,simple
"z_2[1,44]",1.0011867722299461,exp1,baserate,simple
"z_2[1,45]",1.0004452051797046,exp1,baserate,simple
"z_2[1,46]",1.0004354153506791,exp1,baserate,simple
"z_2[1,47]",1.0024340244277596,exp1,baserate,simple
"z_2[1,48]",1.0020376928851649,exp1,baserate,simple
"z_2[1,49]",1.0006907707758208,exp1,baserate,simple
"z_2[1,50]",1.000475377734295,exp1,baserate,simple
"z_2[1,51]",1.001187614808153,exp1,baserate,simple
"z_2[1,52]",1.0005349231946075,exp1,baserate,simple
"z_2[1,53]",1.0005752125441754,exp1,baserate,simple
"z_2[1,54]",1.0003445609095365,exp1,baserate,simple
"z_2[1,55]",1.0004413593318333,exp1,baserate,simple
"z_2[1,56]",1.0007331542023892,exp1,baserate,simple
"z_2[1,57]",1.0011328806409436,exp1,baserate,simple
