parameter,rhat,experiment,condition,model_name
"r_participant__hu[128,Intercept]",1.0021638219591154,exp1,cue,simple
"r_participant__hu[129,Intercept]",1.0021024413932849,exp1,cue,simple
"r_participant__hu[130,Intercept]",1.0021541838481225,exp1,cue,simple
"r_participant__hu[131,Intercept]",1.0016223193275107,exp1,cue,simple
"r_participant__hu[132,Intercept]",1.0019570315319628,exp1,cue,simple
"r_participant__hu[133,Intercept]",1.0020567906418538,exp1,cue,simple
"r_participant__hu[134,Intercept]",1.002399172243219,exp1,cue,simple
"r_participant__hu[135,Intercept]",1.0017931238804336,exp1,cue,simple
"r_participant__hu[136,Intercept]",1.0018571234889442,exp1,cue,simple
"r_participant__hu[137,Intercept]",1.0017951468983148,exp1,cue,simple
"r_participant__hu[138,Intercept]",1.001845239730733,exp1,cue,simple
"r_participant__hu[139,Intercept]",1.002013893645335,exp1,cue,simple
"r_participant__hu[140,Intercept]",1.0020581121750118,exp1,cue,simple
"r_participant__hu[141,Intercept]",1.0022133629184855,exp1,cue,simple
"r_participant__hu[142,Intercept]",1.002676815941095,exp1,cue,simple
"r_participant__hu[143,Intercept]",1.0019191283802218,exp1,cue,simple
"r_participant__hu[144,Intercept]",1.0011471512860035,exp1,cue,simple
"r_participant__hu[145,Intercept]",1.0022673305363932,exp1,cue,simple
"r_participant__hu[146,Intercept]",1.0020134287298457,exp1,cue,simple
"r_participant__hu[147,Intercept]",1.0022032585056755,exp1,cue,simple
"r_participant__hu[148,Intercept]",1.0015293783299326,exp1,cue,simple
"r_participant__hu[149,Intercept]",1.0023105715295286,exp1,cue,simple
"r_participant__hu[150,Intercept]",1.00171416718906,exp1,cue,simple
"r_participant__hu[151,Intercept]",1.0017774314108476,exp1,cue,simple
"r_participant__hu[152,Intercept]",1.0016832014927228,exp1,cue,simple
"r_participant__hu[153,Intercept]",1.0010193309063231,exp1,cue,simple
"r_participant__hu[154,Intercept]",1.00186326188844,exp1,cue,simple
"r_participant__hu[155,Intercept]",1.0021276129049164,exp1,cue,simple
"r_participant__hu[156,Intercept]",1.0016283956216279,exp1,cue,simple
"r_participant__hu[157,Intercept]",1.0024082505948189,exp1,cue,simple
"r_participant__hu[158,Intercept]",1.0021627124369576,exp1,cue,simple
"r_participant__hu[159,Intercept]",1.002024340084563,exp1,cue,simple
"r_participant__hu[160,Intercept]",1.002055722378511,exp1,cue,simple
"r_participant__hu[161,Intercept]",1.0025710220507067,exp1,cue,simple
"r_participant__hu[162,Intercept]",1.0020116211754888,exp1,cue,simple
"r_participant__hu[163,Intercept]",1.0014147434048923,exp1,cue,simple
"r_participant__hu[164,Intercept]",1.0020379577438308,exp1,cue,simple
"r_participant__hu[165,Intercept]",1.0020630670979465,exp1,cue,simple
"r_participant__hu[166,Intercept]",1.0020244826098972,exp1,cue,simple
"r_participant__hu[167,Intercept]",1.0021011426128572,exp1,cue,simple
"r_participant__hu[168,Intercept]",1.002312277900004,exp1,cue,simple
"r_participant__hu[169,Intercept]",1.0022166909036854,exp1,cue,simple
"r_participant__hu[170,Intercept]",1.0020819841774744,exp1,cue,simple
lprior,1.004812549052779,exp1,cue,simple
lp__,1.0007305293043265,exp1,cue,simple
"z_1[1,1]",1.002659195545957,exp1,cue,simple
"z_1[1,2]",1.0051103638290368,exp1,cue,simple
"z_1[1,3]",1.0026274018605845,exp1,cue,simple
"z_1[1,4]",1.0020732617578338,exp1,cue,simple
"z_1[1,5]",1.0031146091211263,exp1,cue,simple
"z_1[1,6]",1.0025731612947755,exp1,cue,simple
"z_1[1,7]",1.0028458251328634,exp1,cue,simple
"z_1[1,8]",1.0036500827036519,exp1,cue,simple
"z_1[1,9]",1.003580004212664,exp1,cue,simple
"z_1[1,10]",1.0030807866384879,exp1,cue,simple
"z_1[1,11]",1.002079267363312,exp1,cue,simple
"z_1[1,12]",1.0035072782476104,exp1,cue,simple
"z_1[1,13]",1.0030600465883202,exp1,cue,simple
"z_1[1,14]",1.0028389909665607,exp1,cue,simple
"z_1[1,15]",1.0013223417203572,exp1,cue,simple
"z_1[1,16]",1.00435731637777,exp1,cue,simple
"z_1[1,17]",1.0019402192731857,exp1,cue,simple
"z_1[1,18]",1.0028871053954156,exp1,cue,simple
"z_1[1,19]",1.0023550881013559,exp1,cue,simple
"z_1[1,20]",1.0039347721072183,exp1,cue,simple
